ID,Name,Age,Nationality,Overall,Potential,Club,ValueInMillions,WageInThousands,Special,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,WorkRate,JerseyNumber,Joined,ContractValidUntil,HeightInInches,WeightInPounds,ReleaseClause,Jumping,Strength,SprintSpeed,Agility,Balance,Vision,Dribbling,BallControl
158023,L. Messi,31,Argentina,94,94,FC Barcelona,110.5,565,2202,Left,5,4,4,Medium/ Medium,10,"Jul 1, 2004",2021,5.7,159,226.5,68,59,86,91,95,94,97,96
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77,405,2228,Right,5,4,5,High/ Low,7,"Jul 10, 2018",2022,6.2,183,127.1,95,79,91,87,70,82,88,94
190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118.5,290,2143,Right,5,5,5,High/ Medium,10,"Aug 3, 2017",2022,5.9,150,228.1,61,49,90,96,84,87,96,95
193080,De Gea,27,Spain,91,93,Manchester United,72,260,1471,Right,4,3,1,Medium/ Medium,1,"Jul 1, 2011",2020,6.4,168,138.6,67,64,58,60,43,68,18,42
192985,K. De Bruyne,27,Belgium,91,92,Manchester City,102,355,2281,Right,4,5,4,High/ High,7,"Aug 30, 2015",2023,5.11,154,196.4,63,75,76,79,77,94,86,91
183277,E. Hazard,27,Belgium,91,91,Chelsea,93,340,2142,Right,4,4,4,High/ Medium,10,"Jul 1, 2012",2020,5.8,163,172.1,56,66,88,95,94,89,95,94
177003,L. Modrić,32,Croatia,91,91,Real Madrid,67,420,2280,Right,4,4,4,High/ High,10,"Aug 1, 2012",2020,5.8,146,137.4,68,58,72,93,94,92,90,93
176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,80,455,2346,Right,5,4,3,High/ Medium,9,"Jul 11, 2014",2021,6,190,164,69,83,75,82,83,84,87,90
155862,Sergio Ramos,32,Spain,91,91,Real Madrid,51,380,2201,Right,4,3,3,High/ Medium,15,"Aug 1, 2005",2020,6,181,104.6,93,83,75,78,66,63,63,84
200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,68,94,1331,Right,3,3,1,Medium/ Medium,1,"Jul 16, 2014",2021,6.2,192,144.5,76,78,60,67,49,70,12,16
188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,77,205,2152,Right,4,4,4,High/ Medium,9,"Jul 1, 2014",2021,6,176,127.1,84,84,78,78,78,77,85,89
182521,T. Kroos,28,Germany,90,90,Real Madrid,76.5,355,2190,Right,4,5,3,Medium/ Medium,8,"Jul 17, 2014",2022,6,168,156.8,30,73,62,70,71,86,81,90
182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,44,125,1946,Right,3,3,2,Medium/ High,10,"Aug 4, 2010",2019,6.2,172,90.2,91,88,68,58,54,52,53,76
168542,David Silva,32,Spain,90,90,Manchester City,60,285,2115,Left,4,2,4,High/ Medium,21,"Jul 14, 2010",2020,5.8,148,111,64,52,64,92,90,92,89,94
215914,N. Kanté,27,France,89,90,Chelsea,63,225,2189,Right,3,3,2,Medium/ High,13,"Jul 16, 2016",2023,5.6,159,121.3,77,76,78,82,92,79,79,80
211110,P. Dybala,24,Argentina,89,94,Juventus,89,205,2092,Left,3,3,4,High/ Medium,21,"Jul 1, 2015",2022,5.1,165,153.5,75,65,83,91,85,87,92,92
202126,H. Kane,24,England,89,91,Tottenham Hotspur,83.5,205,2165,Right,3,4,3,High/ High,9,"Jul 1, 2010",2024,6.2,196,160.7,78,84,72,71,71,80,80,84
194765,A. Griezmann,27,France,89,90,Atlético Madrid,78,145,2246,Left,4,3,4,High/ High,7,"Jul 28, 2014",2023,5.9,161,165.8,90,62,85,90,80,83,88,90
192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,58,240,1328,Right,3,4,1,Medium/ Medium,22,"Jul 1, 2014",2022,6.2,187,123.3,79,79,50,37,43,69,17,18
192119,T. Courtois,26,Belgium,89,90,Real Madrid,53.5,240,1311,Left,4,2,1,Medium/ Medium,1,"Aug 9, 2018",2024,6.6,212,113.7,68,70,52,61,45,44,13,23
189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,51.5,315,2065,Right,4,3,3,Medium/ Medium,5,"Sep 1, 2008",2023,6.2,168,105.6,66,77,52,66,52,87,80,88
179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,60,200,2161,Right,4,4,3,High/ High,21,"Jul 16, 2013",2020,6.1,170,111,88,78,76,77,59,77,80,82
167495,M. Neuer,32,Germany,89,89,FC Bayern München,38,130,1473,Right,5,4,1,Medium/ Medium,1,"Jul 1, 2011",2021,6.4,203,62.7,77,80,60,51,35,70,30,48
153079,S. Agüero,30,Argentina,89,89,Manchester City,64.5,300,2107,Right,4,4,4,High/ Medium,10,"Jul 28, 2011",2021,5.8,154,119.3,81,73,80,86,91,83,89,89
138956,G. Chiellini,33,Italy,89,89,Juventus,27,215,1841,Left,4,3,2,Medium/ High,3,"Jul 1, 2005",2020,6.2,187,44.6,89,89,75,54,55,50,58,57
231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,81,100,2118,Right,3,4,5,High/ Medium,10,"Jul 1, 2018",2022,5.1,161,166.1,75,71,96,92,83,82,90,91
209331,M. Salah,26,Egypt,88,89,Liverpool,69.5,255,2146,Left,3,3,4,High/ Medium,10,"Jul 1, 2017",2023,5.9,157,137.3,68,70,91,91,88,82,89,88
200145,Casemiro,26,Brazil,88,90,Real Madrid,59.5,285,2170,Right,3,3,2,Medium/ High,14,"Jul 11, 2013",2021,6.1,185,126.4,88,89,65,62,66,77,69,78
198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,69.5,315,2171,Left,4,3,4,Medium/ Medium,10,,"Jun 30, 2019",5.11,172,,54,68,67,83,76,89,85,90
198219,L. Insigne,27,Italy,88,88,Napoli,62,165,2017,Right,3,3,4,High/ Medium,10,"Jul 1, 2010",2022,5.4,130,105.4,53,44,86,94,93,87,90,93
197781,Isco,26,Spain,88,91,Real Madrid,73.5,315,2137,Right,3,3,4,High/ Medium,22,"Jul 3, 2013",2022,5.9,174,156.2,64,59,69,87,90,89,94,95
190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,73.5,205,2117,Right,3,5,4,High/ Medium,10,"Aug 30, 2013",2020,5.11,168,141.5,50,58,73,79,81,91,84,91
189242,Coutinho,26,Brazil,88,89,FC Barcelona,69.5,340,2175,Right,3,4,5,High/ High,7,"Jan 6, 2018",2023,5.8,150,147.7,59,61,75,92,93,90,91,92
188567,P. Aubameyang,29,Gabon,88,88,Arsenal,59,265,2069,Right,3,4,4,Medium/ Low,14,"Jan 31, 2018",2021,6.2,176,112.1,79,76,95,76,70,77,79,82
178603,M. Hummels,29,Germany,88,88,FC Bayern München,46,160,2038,Right,4,3,3,High/ Medium,5,"Jul 1, 2016",2021,6.3,203,75.9,68,84,64,63,60,79,68,81
176676,Marcelo,30,Brazil,88,88,Real Madrid,43,285,2279,Left,4,4,5,High/ Low,12,"Jan 1, 2007",2022,5.9,176,88.2,76,78,82,86,86,82,90,92
173731,G. Bale,28,Wales,88,88,Real Madrid,60,355,2279,Left,4,3,4,High/ Medium,11,"Sep 2, 2013",2022,6.1,181,123,87,80,95,82,65,79,87,85
167948,H. Lloris,31,France,88,88,Tottenham Hotspur,36,150,1335,Left,4,1,1,Medium/ Medium,1,"Aug 1, 2012",2022,6.2,181,66.6,74,43,62,55,54,30,10,34
167664,G. Higuaín,30,Argentina,88,88,Milan,57,245,1965,Right,4,4,3,High/ Medium,9,,"Jun 30, 2019",6.1,196,,79,85,73,75,69,74,84,85
164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24,165,2077,Right,4,3,2,Medium/ High,2,"Jul 1, 2012",2020,6,181,44.4,90,82,72,68,68,72,62,80
162835,S. Handanovič,33,Slovenia,88,88,Inter,30,110,1262,Right,3,2,1,Medium/ Medium,1,"Jul 1, 2012",2021,6.4,203,51,78,71,55,47,36,41,12,16
1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4,77,1334,Right,4,2,1,Medium/ Medium,1,"Jul 6, 2018",2019,6.4,203,7.4,75,69,43,55,49,50,26,28
205600,S. Umtiti,24,France,87,92,FC Barcelona,57,205,2147,Left,3,3,2,Medium/ High,23,"Jul 12, 2016",2023,6,165,121.1,89,84,73,68,66,58,69,77
201399,M. Icardi,25,Argentina,87,90,Inter,64.5,130,1940,Right,3,4,3,Medium/ Low,9,"Jul 9, 2013",2021,5.11,165,114.5,94,76,78,76,76,64,77,81
201024,K. Koulibaly,27,Sal,87,90,Napoli,51,115,1660,Right,3,3,2,High/ High,26,"Jul 1, 2014",2021,6.2,196,90.5,81,94,75,50,40,43,66,60
195864,P. Pogba,25,France,87,91,Manchester United,64,210,2247,Right,4,4,5,High/ Low,6,"Aug 9, 2016",2021,6.4,185,123.2,83,89,79,74,64,87,87,90
193041,K. Navas,31,Costa Rica,87,87,Real Madrid,30.5,195,1345,Right,3,3,1,Medium/ Medium,1,"Aug 3, 2014",2020,6.1,176,62.5,74,75,53,60,61,68,16,19
192505,R. Lukaku,25,Belgium,87,89,Manchester United,62.5,230,2031,Left,3,3,3,Medium/ Medium,9,"Jul 10, 2017",2022,6.3,207,120.3,71,94,90,60,46,76,80,72
192387,C. Immobile,28,Italy,87,87,Lazio,52,115,2009,Right,3,4,3,High/ Medium,17,"Jul 27, 2016",2023,6.1,187,88.4,77,76,85,77,63,65,83,83
189332,Jordi Alba,29,Spain,87,87,FC Barcelona,38,250,2230,Left,3,3,3,High/ Medium,18,"Jul 1, 2012",2020,5.7,150,77.9,81,61,93,90,85,70,80,84
